21.253,21.458,23.693,25.291,30.602,34.082,41.665,47.233,52.57,53.537,60.998,63.701,69.232,69.916,72.403,74.864,84.197,82.53,84.286,84.859,91.663,98.435,98.562,96.448,102.34,102.67,105.99,104.08,101.6,103.87,105.31,103.28,108.12,109.51,107.88,106.63,109.34,109.36,109.62,105.33
16.394,16.431,17.594,18.091,21.01,23.476,25.349,27.199,28.384,28.809,33.154,35.912,40.448,48.422,49.826,50.997,55.789,58.422,62.007,63.485,64.275,70.434,74.758,75.877,76.55,74.677,72.263,67.713,69.44,71.422,70.186,69.088,70.691,73.566,73.661,71.751,66.426,67.472,68.05,64.633
18.402,18.306,19.7,18.955,22.735,23.116,25.149,26.419,28.347,27.784,28.814,26.972,30.742,32.899,33.701,33.291,36.116,36.24,37.309,35.295,39.915,43.56,44.295,43.494,48.247,48.943,49.612,45.498,44.095,44.591,45.03,43.484,44.314,44.496,43.331,43.255,44.353,44.524,42.272,40.754
20.837,20.837,25.418,26.388,29.465,36.986,42.101,42.218,44.411,44.382,48.982,48.778,44.353,42.877,42.256,44.741,44.974,41.635,44.819,45.226,46.721,49.991,49.943,47.74,47.468,46.973,46.032,44.217,41.8,39.228,37.588,37.608,34.308,34.191,32.716,32.493,31.765,32.774,32.124,29.882
19.223,21.17,25.343,29.587,36.641,43.756,48.769,49.794,49.333,49.394,47.897,43.366,45.365,44.709,45.037,45.663,44.289,42.413,41.726,34.529,40.69,46.442,47.252,48.338,58.478,60.497,60.364,53.905,47.641,47.508,49.117,40.547,40.014,41.428,38.148,39.05,39.05,35.79,34.211,31.361
21.465,22.125,24.952,26.11,28.513,33.333,34.476,35.253,35.956,36.249,37.802,38.066,35.209,36.821,36.616,37.29,37.128,37.758,38.037,36.337,33.861,39.312,39.883,39.341,37.246,35.473,35.502,38.652,33.158,31.81,30.931,29.348,29.48,28.806,24.396,23.941,23.678,23.575,25.539,23.883
15.706,16.258,18.272,21.106,25.163,32.114,40.064,41.078,44.822,45.657,52.548,56.531,56.173,53.071,54.413,54.115,59.052,56.397,56.844,54.786,55.457,57.918,58.008,55.382,59.126,57.709,53.936,54.92,57.799,56.978,57.083,50.192,46.836,50.49,47.835,41.108,38.692,36.081,36.678,33.665
14.627,13.533,14.034,13.126,23.767,25.955,28.939,31.461,34.167,35.688,40.063,35.428,41.88,42.825,42.603,42.102,41.824,39.247,35.335,30.274,48.665,49.74,51.39,50.5,62.68,64.312,65.795,47.979,47.497,46.236,47.2,37.949,37.134,35.131,31.59,30.293,29.496,27.475,25.38,25.398
14.113,14.054,16.163,17.128,18.212,23.889,28.639,28.718,30.689,31.419,34.612,37.056,33.981,33.528,35.282,36.05,36.405,37.036,38.455,40.939,40.407,42.535,43.678,45.551,45.176,42.594,40.347,44.901,44.289,43.186,41.451,40.347,42.121,42.713,37.43,36.267,35.893,34.493,34.217,31.123
7.4283,7.3571,8.8286,10.941,13.029,17.325,18.535,19.888,20.766,22.309,24.468,25.37,21.502,21.122,20.766,21.644,20.173,19.105,17.515,18.606,20.125,21.81,22,21.597,19.437,19.959,19.532,20.244,18.82,18.535,19.912,20.268,19.247,19.888,17.657,18.179,17.61,16.447,16.02,15.759
8.4846,10.161,12.92,14.003,16.505,22.694,25.041,26.743,26.769,27.053,28.471,28.806,25.222,25.196,24.267,26.098,27.336,27.233,28.78,29.399,28.832,31.205,30.56,30.173,29.889,28.239,26.331,27.543,25.531,25.067,23.133,22.54,22.488,23.339,22.179,22.204,21.431,21.689,21.611,19.935
8.1849,8.5722,9.6566,10.509,12.6,14.898,18.461,19.649,20.759,21.947,23.444,23.005,22.179,19.417,20.139,21.844,21.973,22.257,24.735,26.594,28.918,30.158,31.294,33.179,34.547,33.927,34.211,35.709,34.211,35.296,33.617,31.784,31.01,30.313,27.162,26.956,24.348,23.625,23.341,22.334
17.288,18.621,22.648,23.98,26.19,30.671,33.336,33.79,33.759,32.034,32.367,30.913,30.368,29.46,28.854,28.945,29.369,29.339,29.672,26.584,26.947,31.367,30.701,30.671,31.367,32.185,32.306,33.305,28.612,29.763,29.309,27.068,24.888,24.797,21.346,21.346,21.558,21.194,20.68,19.226
6.9824,7.9705,9.4856,10.078,12.417,13.668,14.459,14.986,14.854,16.797,18.708,18.741,23.648,24.998,24.504,25.262,24.142,23.846,24.175,19.169,31.157,33.858,35.736,36.658,42.586,43.871,46.901,37.514,36.855,36.164,36.888,30.301,31.52,30.993,28.259,27.337,27.732,25.756,26.316,24.735
19.697,18.776,21.575,23.169,25.471,30.325,30.006,29.51,29.864,31.281,34.47,31.636,32.309,34.682,34.541,36.631,37.729,38.65,41.484,38.189,49.455,52.466,54.167,52.572,58.382,60.26,58.382,51.616,52.147,51.439,53.635,47.4,49.136,50.624,45.7,44.07,43.185,39.288,38.437,35.32
22.789,23.976,23.717,23.679,29.173,32.253,34.443,34.925,31.548,34.146,37.783,34.257,33.923,34.591,34.48,36.224,39.231,38.526,39.936,40.381,44.575,51.553,56.786,53.409,55.636,57.046,59.718,59.199,54.522,49.92,51.108,49.178,47.767,42.608,36.373,34.74,36.855,34.48,35.408,36.373
8.8204,10.683,12.546,15.018,19.96,24.408,29.693,31.898,33.419,35.814,39.084,39.578,43.038,43.076,43.684,44.254,43.266,42.467,43.038,41.061,45.661,52.238,52.656,55.09,68.586,72.16,70.868,70.069,69.423,72.388,73.605,59.842,60.602,63.948,60.983,55.508,56.801,54.862,54.633,50.185
