-35,-13,-29,-38,-37,-33,-15,-36,-16,-30,-36,-20,-27,-49,-39,-55,-33,-41,-55,-53,-49,-25,-57,-35,-40,-40,-18,-28,-53,-36,-48,-25,-54,-28,-38,-41,-20,-11,-62,-53,-36,-19,-14,-31,-40,-33,-20,-13,-19,-41,-38,-20,-25,-23,-40,-47,-24,-56,-62,-38,-33,-16,-28,-20,-36,-32,-13,-28,-37,-41,-45,-21,-21,-40,-44,-61,-34,-40,-74,-54,-41,-23,-41,-61,-48,-42,-20,-57,-56,-43,-44,-23,-54,-64,-48,-49,-29,-67,-63,-48
-34,-7,-26,-34,-38,-33,-13,-36,1,-31,-35,-17,-24,-47,-40,-51,-29,-45,-50,-53,-48,-22,-59,-33,-41,-40,-17,-30,-46,-38,-47,-24,-57,-25,-39,-39,-17,-9,-48,-53,-36,-15,-19,-35,-41,-33,-18,-41,-15,-43,-36,-17,-23,-14,-41,-46,-23,-56,-61,-41,-31,-13,-27,-18,-38,-32,-11,-39,-35,-43,-43,-18,-27,-28,-46,-58,-31,-39,-72,-55,-40,-20,-44,-58,-49,-43,-19,-59,-54,-45,-43,-19,-54,-62,-49,-48,-28,-68,-62,-50
-28,5,-32,-32,-38,-25,-1,-28,1,-32,-29,-5,-21,-47,-40,-49,-23,-41,-54,-53,-43,-17,-63,-33,-42,-33,-4,-33,-51,-38,-42,-12,-55,-25,-41,-35,-9,1,-45,-53,-30,-4,-13,-30,-41,-27,-9,-39,-11,-43,-30,-2,-24,-16,-42,-42,-12,-61,-61,-41,-23,0,-13,-17,-38,-26,2,-29,-33,-43,-40,-12,-12,-31,-46,-56,-27,-34,-72,-55,-36,-13,-34,-59,-49,-40,-12,-60,-53,-45,-42,-16,-56,-64,-50,-47,-22,-70,-63,-50
-30,6,-24,-36,-39,-28,-2,-32,-14,-32,-31,-5,-27,-45,-41,-50,-23,-40,-55,-54,-45,-15,-63,-31,-43,-36,-7,-26,-53,-38,-44,-19,-53,-25,-41,-37,-9,-8,-66,-55,-33,-5,-14,-33,-43,-30,-11,-38,-18,-44,-32,-5,-19,-14,-42,-43,-12,-58,-62,-42,-27,-4,-20,-18,-40,-25,4,-23,-33,-44,-42,-14,-15,-38,-47,-57,-26,-36,-74,-56,-38,-14,-41,-61,-50,-41,-11,-60,-56,-47,-43,-13,-54,-66,-51,-48,-19,-70,-65,-51
-41,-8,-33,-51,-42,-41,-14,-48,-35,-37,-43,-19,-39,-57,-43,-55,-28,-49,-62,-55,-56,-29,-70,-45,-46,-49,-22,-43,-59,-43,-56,-31,-65,-40,-45,-45,-19,-25,-67,-55,-47,-18,-42,-40,-46,-39,-18,-45,-31,-46,-46,-20,-36,-33,-45,-54,-26,-65,-65,-46,-41,-16,-37,-30,-42,-38,-7,-39,-41,-46,-48,-18,-34,-41,-48,-61,-30,-48,-76,-56,-44,-19,-44,-62,-50,-47,-18,-58,-60,-47,-45,-15,-53,-67,-51,-50,-21,-70,-66,-51
-45,-17,-34,-55,-35,-47,-20,-52,-38,-33,-47,-25,-43,-61,-38,-62,-35,-54,-66,-53,-60,-34,-72,-58,-46,-55,-25,-49,-58,-38,-61,-37,-67,-38,-42,-52,-25,-36,-71,-43,-51,-23,-45,-46,-39,-45,-23,-53,-35,-35,-50,-25,-38,-46,-38,-59,-34,-70,-73,-43,-46,-22,-49,-38,-36,-45,-13,-50,-41,-33,-53,-24,-38,-45,-40,-66,-36,-60,-80,-50,-53,-24,-62,-69,-40,-52,-25,-72,-61,-41,-52,-23,-68,-73,-43,-56,-28,-78,-68,-47
-51,-24,-53,-62,-41,-52,-29,-65,-46,-41,-54,-35,-66,-68,-46,-68,-45,-67,-73,-58,-63,-37,-76,-63,-48,-59,-36,-73,-74,-44,-63,-40,-76,-46,-46,-58,-37,-71,-83,-48,-58,-34,-73,-59,-46,-49,-33,-65,-43,-41,-56,-36,-67,-55,-45,-61,-38,-76,-75,-46,-50,-31,-55,-41,-44,-48,-24,-60,-52,-39,-58,-32,-62,-58,-44,-73,-47,-81,-84,-56,-56,-34,-75,-74,-46,-55,-33,-76,-68,-44,-56,-30,-69,-77,-45,-60,-36,-80,-73,-48
-45,-22,-58,-47,-43,-39,-18,-43,-25,-36,-43,-23,-32,-53,-43,-56,-32,-50,-61,-54,-55,-32,-68,-40,-45,-49,-25,-41,-60,-43,-55,-32,-58,-33,-44,-45,-24,-16,-67,-56,-44,-21,-34,-38,-45,-40,-25,-41,-22,-45,-45,-25,-38,-27,-47,-53,-30,-68,-67,-44,-40,-19,-37,-24,-41,-38,-14,-34,-40,-46,-49,-23,-27,-42,-47,-61,-33,-40,-75,-56,-44,-24,-43,-64,-51,-49,-26,-67,-61,-48,-48,-25,-60,-68,-51,-52,-30,-72,-67,-52
-41,-11,-28,-40,-43,-40,-18,-40,-10,-38,-41,-20,-26,-44,-45,-54,-31,-45,-57,-55,-54,-28,-64,-39,-47,-47,-24,-32,-55,-43,-55,-31,-54,-30,-46,-43,-22,-19,-48,-57,-43,-17,-25,-37,-46,-39,-22,-42,-21,-47,-42,-22,-20,-22,-48,-53,-29,-64,-65,-46,-38,-18,-36,-23,-43,-37,-13,-31,-38,-47,-48,-22,-18,-34,-49,-60,-31,-37,-75,-57,-44,-22,-41,-62,-52,-47,-25,-61,-59,-48,-47,-22,-56,-66,-53,-52,-29,-69,-65,-53
-40,-16,-35,-38,-44,-40,-17,-36,-12,-38,-41,-20,-25,-47,-44,-54,-29,-48,-58,-56,-53,-32,-67,-41,-46,-47,-22,-34,-57,-44,-53,-30,-57,-29,-45,-44,-23,-22,-52,-57,-44,-18,-24,-37,-46,-39,-22,-41,-21,-47,-43,-21,-24,-28,-48,-51,-27,-66,-65,-46,-38,-18,-35,-24,-43,-39,-15,-34,-40,-48,-48,-22,-11,-36,-49,-60,-32,-38,-76,-57,-43,-23,-38,-63,-52,-48,-25,-63,-59,-49,-47,-23,-58,-68,-53,-52,-30,-70,-65,-53
