415.75,437.8,407.5,424.29,429,465.57,430.29,419.43,409.71,416,398.29,369.43,371.71,346.86,360.57,326.71,328,314,334.86,318,323.14,300.29,280,285.29,273.29,253.57,234,210.71,209,232.43,203.43,217.43,199,206.29,217.43,182.14,172.71,176,153.57,165.86,156.71,165.29,192.43,217.86,235.86,242.43,222.43,223.71,232.14,215.86,189.71,169.57,168.14,175.14,170.14,147,159.86,161.71,165,156.86,150.86,175.86,197.57,202.14,210.43,221,231,250.86,260.14,252.71,259.43,333.43,338.57,348.71,394.43,428,472.29,500.57,492.43,553.29,577.43,583,643.71,687.14,831.43,926,1132,1283.3,1428.3,1454.6,1657.3,1730.7,1881,1899.6,1967.1,2034,2287.6,2242.3,2290,2305.6,2490.4,2674.4,2677.9,2620.4,2780.6,2789.4,2879.7,2827.7,2760.3,2822,2861.1,2806.1,2937.6,2975.4,2931,2897.1,2970.7,2971.1,2978.3,2861.7,2768,2741.4,2786.8
115.25,125.6,124.83,134,144.43,145.29,142.71,154.43,154.14,151.29,157.43,147.29,142.57,140.86,144.14,142,146.57,128.71,129.57,127.29,137.86,129,117.29,108.29,102.29,97,92,74.571,79,85.429,83.286,84.143,92.143,93.571,103.43,77.714,74.714,78,71.286,68.714,63.571,54.286,63.571,60.143,55,62.857,56.571,58.429,65.286,63.857,64,64.857,62.571,61.429,59.714,50.857,56.429,59.714,60.857,62.286,64.143,73.429,84.571,85.286,89,97.286,104,112.43,122,125,145.29,167.71,160.57,166,209,231.29,253.43,265.57,281.86,318.14,320.14,320.86,343.57,353.29,410.29,458.43,495,531.14,554.29,562.57,647.43,701.29,789.86,945.57,973,995.86,1089.4,1140.9,1210.9,1239.7,1255.1,1375.4,1459.9,1481.7,1494.9,1458.3,1411.1,1322.3,1356,1394.7,1370.6,1349.1,1380.4,1436.6,1438.4,1401.1,1297.1,1317.6,1328.9,1262.1,1204,1212.2,1156.8
98.75,98.2,89.5,88.429,86.857,86.857,85.143,81.857,77.857,92.286,88.857,83,84.571,76.286,93.857,91.286,74.857,79.429,82.857,85.286,98.143,73.143,68,75.286,71.857,79.571,71.143,58.429,63,66.571,61.857,78.286,73.286,81.286,89.143,82,102.57,105.71,82.571,100.43,99.429,98.714,110.86,91.714,93.429,109.86,86.571,85.714,98.571,97.286,100,96.714,99.571,104.29,97,81.857,99,108.29,113.57,111.43,112.86,146,163.86,156.29,168,176.29,170.57,185.57,171.57,171.29,192.86,195.43,229,240.86,249.14,256.29,281,272.43,294.86,274.43,275.43,274,294.86,283.71,340.29,346,376.43,395.43,424.29,415.86,431.29,403.71,460.14,492.43,504.43,498.29,540.57,542.43,558.43,528.29,597.43,652,663,651,722.14,732.57,742.57,681,660,667.43,674,650.86,663.29,666,648.57,647.43,663.86,666.43,632.71,610,594.5,589.8,579
47.75,45,44,43.286,43.286,38.429,36.143,30.429,28.714,31.857,34,30.143,34.143,31.571,35.429,35,28.714,22.857,22.857,16.571,18.571,14,14,12.571,12.714,14.429,17,16.571,20.143,28.429,33.286,34,34.857,32.286,34.286,29.714,22.857,21.571,21.143,21.286,23.286,23.714,28.143,26.429,26,29.286,28.143,29.857,33.857,31.714,34,38.429,40.857,42.714,41.714,36,39.857,43.714,45.429,44.571,45.143,55.571,65.714,69.286,73.429,78.143,87.143,91.143,91.857,99.286,105.86,123,123.57,137.86,158,178,205.14,241,259.29,281,306.71,306.71,374.14,388.43,433.71,544.43,619.71,621.43,653.71,653.29,721,718,652.86,631.14,622,658.57,662,612.86,659.71,665.71,687.71,735.86,735.14,702.71,698.71,691.43,677.57,650.86,615.29,577.43,553.29,553.57,505,503.29,481.57,478.29,467.57,482.43,472.86,439.86,415,407.8,408.25
75.5,71.4,68.833,64.857,56.429,52.286,45.571,42.857,38,33.714,38.571,38.571,35.429,36.286,36.571,36.714,35.571,27.429,28.143,26.571,22.857,18.857,17.714,17.714,17.571,18.286,16.143,15.857,17.571,16.857,16,14.143,11.857,12.714,12.714,9.2857,11.857,10.143,10.571,13,13.286,14.714,19.571,17.714,21.429,23.857,23.143,22.143,21.286,18.429,19.857,21.857,21.714,21.429,24.143,25.143,28.714,29.714,27.714,28.571,28.429,34.857,38.143,37.857,40,44.857,49.571,57.286,60.143,72.714,80.429,97.286,116.29,129.14,141.14,148.86,174.57,214.43,233.14,254.86,267.86,295,353.14,412.29,510.57,609.71,679.57,693.86,687.43,688.29,667.43,604.29,632.14,623,627.57,636.29,617.14,591,581.43,481.14,567,647.14,658.43,673.57,814.86,843,841.14,751.14,663.86,662,684.43,565,557.57,577.29,531.57,544.14,544.14,498.71,476.71,437,408.67,406.2,404.5
47.25,42.6,38.333,34.714,31.429,23.143,21.286,16.143,14.857,13.714,15.286,15.286,16.857,15.429,19.143,20.143,19.571,18.286,19.714,18.286,18,15.429,12.857,13.571,13,11,11,10.429,10.714,11.429,11.286,12.286,11.286,11.857,13,11.429,13,13.571,13.143,17.286,17.429,20.286,24.143,22.857,23,25,21.857,21.714,21,17,20.714,21.571,19.429,19.143,18.571,15.571,17.429,15.571,17.714,18,19.857,22.286,25.571,34.286,38.571,41,46.429,49.143,55,66.429,66.143,81.571,93,107.29,120.57,134,146.43,173.14,190.71,204.57,209.29,215.71,243.29,254.57,278,325,336.14,343.71,350.57,353.43,368.57,371.14,343.29,359,357,363.57,362,368.14,370.86,354.29,330.14,383.29,388.86,383.57,363.14,345.86,346.14,376.86,323.29,310.14,301.57,286.14,287.43,280.86,237.86,233.43,230.86,229.86,249,232.86,228.5,241.8,254.25
40,44.8,41.667,45,44.857,45.429,44.143,42.143,36,36.429,30.429,28.143,27,25.857,28.429,28,26.571,29.286,27.286,27.143,25.571,19.714,18.571,18.571,13.429,13.143,10.143,8.1429,10,10.429,8.7143,11.714,10.857,10,10.143,9,13.714,17,14.143,15.571,17.429,18.857,23.429,17.857,17.143,18.429,18.857,19.571,20,17.714,21,22.143,23.857,23.714,24.429,24,26.429,28.857,29.286,26.714,25.143,23.143,25.571,25,22.286,21.143,21.714,23.429,25.571,27.286,26.714,28.143,28.286,32.286,41.143,49.429,59.429,80.143,104.86,130.29,150.43,155.71,175,202.14,241,307.57,383.71,393.43,429.29,437.29,503.29,541.43,538,508.29,521.14,518.29,565.57,540.14,544.43,524.71,531.14,554.71,555.57,530.43,566.29,552.71,516.57,526,553.57,545.71,546.71,480.71,448.57,483.57,458.14,393.71,370.57,345.57,351.29,322.43,291.67,257,259.25
33.25,35.4,34.667,32.714,33.286,34.429,35.286,38.286,35.714,34,34.571,31.143,28.714,23.571,21.286,20.143,21.714,20.429,19.714,20.571,28.571,31.286,29.286,27.429,26.571,27.857,26,19.143,18.143,20.143,22.429,23.857,24.286,24.714,27.286,21.714,23.429,21.429,21,22.429,22.286,19.714,23.714,21.714,26.857,28,29,30,33.571,40.143,39.429,34.714,36.429,34.143,32.143,31,25.857,31,29.857,29.571,29.714,45.714,49.286,50.429,51.286,54.429,53.143,60.143,47.857,50.429,51.857,54.429,78.143,80.286,89.571,109.29,122,130.29,131.71,113,112.71,104.29,108.14,101.14,183.14,200,223,242.43,263.29,275,308.71,273,322.71,330,328.29,324.43,322.29,302.43,272.29,233.29,375,383.29,396,389.14,483,495.57,507,369.71,366,356.29,363.71,292.43,286.14,270.71,243.43,233.43,227.29,211.71,195.57,195.71,187.33,200.2,219
15.75,15.8,15.667,16.714,18,16.429,18.714,16.429,14.571,13.857,12.857,11.429,11.571,10,10.714,10.857,10.286,9.2857,11,11,10.714,11,11.429,12,15.143,14.429,14.857,14.857,15.286,16.286,16.143,13.571,12.857,13.714,15.857,14.429,15.571,16.143,17,18.286,17.571,14.857,16.429,14.143,14.286,13,13,14.143,17.714,17.714,18.714,19,18.857,17.857,17.286,16.714,19.571,21.714,22.571,22.857,23.143,23.857,23,21.429,20,21.571,24,27.143,30.429,32.143,35.143,38.429,41.143,43.286,46.143,49.571,53.857,69,79.429,82.286,102.29,101.86,117.14,124.14,132,173.14,207.57,208.14,222.43,227.71,250.86,268.57,246.29,243,255.71,261.29,263.86,268.43,278.71,296.71,292.86,308.29,316.57,330.14,327.43,308.71,292.43,325.43,321,313,300.43,292.43,305.29,309.57,271.29,262.86,260.14,250,248,225.57,215.17,213,192.75
7.5,8,7.8333,8.5714,8.7143,8.2857,8.8571,8.4286,7.2857,7.7143,8,9.2857,9.7143,11.571,12,12.429,11.714,10,8.7143,7.5714,6.1429,6,5.7143,5.2857,6.8571,6.2857,6.2857,7.1429,6,6.7143,8,6.2857,7.2857,7.1429,5.7143,5.2857,4.4286,2.8571,2.8571,2.4286,3.4286,3.2857,4.2857,4.4286,5.2857,5.2857,5,4,4,3.4286,4.2857,4.1429,4.4286,4,3.8571,3.5714,4.1429,4.4286,4,3.7143,4,4.1429,4.2857,4.2857,4.7143,5,5.7143,6.2857,8,10.714,11.429,12.571,12.571,14.429,19.571,23.714,26,32.714,39.429,43.571,44.714,44.286,53.143,65.857,78.429,104.29,111.57,119.71,125,134.29,147.29,152.71,129.43,127.14,125,130.29,121.43,115,105.43,112,121.14,131.29,132.43,130,117,120.14,117.57,121.86,113.29,111.57,119.86,122,115.86,119.71,106.29,109.43,106,99,96.429,94.857,87,90.8,87.75
